PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-10-14,15:15:57.89,1,1,"Weston, Travis",1000024904,Left,CAL_MUS,"Brown, Kemet",,Undefined,CAL_MUS,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,86.15601,-0.934368,2.458524,2255.199999,127.046272,10:15,5.77164,-1.72109,5.41064,-27.22084,11.59678,-13.53257,2.62694,-0.54399,77.91083,-5.993371,0.052351,0.448421,,,,,,,,,,,,7.62174,6.5165,1.51222,50,5.66976,-4.77797,-124.82627,-2.97219,11.87284,28.10486,-22.02288,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221014-BaggettStadium-Private-1,c74a8930-4c0d-11ed-bb65-39f4dd2c184f,84.05594,,,8.24519,,,,,,,76d5ad5a-1054-442a-8156-293feaf6ba11,2022-10-14,22:15:57.89,2022-10-14T15:15:57.8933168-07:00,2022-10-14T22:15:57.8933168Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,e99f6668-8ee5-4394-93a2-9cce15cf3ae1,55.0888,-125.96681,14.05243,5.77224,-2.07847,-11.01144,1.7159,-5.25979,5.93642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-10-14,15:16:25.87,1,2,"Weston, Travis",1000024904,Left,CAL_MUS,"Brown, Kemet",,Undefined,CAL_MUS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.0508,-2.08854,2.202658,2183.140467,142.626212,10:45,5.68496,-1.85414,5.49489,-23.2595,15.68761,-10.88347,1.79067,-0.69964,77.6172,-6.451365,0.264216,0.449168,,,,,,,,,,,,6.21524,9.00284,1.66899,50,5.48677,-4.32391,-124.5806,-5.29639,9.61318,28.72559,-18.24928,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221014-BaggettStadium-Private-1,d7f46f80-4c0d-11ed-bb65-39f4dd2c184f,83.91608,,,8.43361,,,,,,,76d5ad5a-1054-442a-8156-293feaf6ba11,2022-10-14,22:16:25.87,2022-10-14T15:16:25.8757040-07:00,2022-10-14T22:16:25.8757040Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,6859ad88-f1d5-43d7-873b-2ec6e43d6d35,55.00303,-125.7289,14.3628,5.68391,-4.56689,-9.12464,1.84951,-4.70819,4.80659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-10-14,15:16:40.45,1,3,"Weston, Travis",1000024904,Left,CAL_MUS,"Brown, Kemet",,Undefined,CAL_MUS,Undefined,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.08346,1.262796,-0.289996,2461.159424,327.627466,5:00,5.95238,-1.79238,5.06194,-69.36271,-15.83477,11.27536,1.36317,-1.12623,67.30195,-11.241473,1.711071,0.526577,,,,,,,,,,,,-5.67835,-7.67941,1.81061,50,6.01732,0.09926,-107.37046,-0.0473,-6.4808,22.45844,-40.93869,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221014-BaggettStadium-Private-1,e0accbe0-4c0d-11ed-bb65-39f4dd2c184f,71.58015,,,6.78151,,,,,,,76d5ad5a-1054-442a-8156-293feaf6ba11,2022-10-14,22:16:40.45,2022-10-14T15:16:40.4522928-07:00,2022-10-14T22:16:40.4522928Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,0d8fad4d-1a67-4714-acde-fc5e7e850ee2,55.44101,-108.50257,11.22922,5.96769,2.01639,-20.46935,1.79737,0.42595,-3.2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-10-14,15:16:56.62,1,4,"Weston, Travis",1000024904,Left,CAL_MUS,"Brown, Kemet",,Undefined,CAL_MUS,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.28496,0.357265,2.173325,2254.667384,134.893203,10:30,5.79251,-1.82526,5.35429,-25.39828,13.35918,-12.03607,4.01131,-0.78895,77.86673,-4.385708,0.036451,0.448073,,,,,,,,,,,,6.66016,6.98036,1.6384,50,5.80702,-4.20228,-124.99435,-0.08412,10.41763,27.85201,-21.25555,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221014-BaggettStadium-Private-1,ea504b90-4c0d-11ed-bb65-39f4dd2c184f,84.12114,,,8.41823,,,,,,,76d5ad5a-1054-442a-8156-293feaf6ba11,2022-10-14,22:16:56.62,2022-10-14T15:16:56.6295984-07:00,2022-10-14T22:16:56.6295984Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,b29a094e-1dac-419e-9c71-8158bd26c400,55.1422,-126.13497,13.92601,5.79264,0.78635,-10.62778,1.81923,-4.62891,5.20882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-10-14,15:17:12.45,1,5,"Weston, Travis",1000024904,Left,CAL_MUS,"Brown, Kemet",,Undefined,CAL_MUS,Undefined,1,Top,0,2,2,Slider,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,78.40339,-1.574494,2.244233,1820.497595,109.505207,9:45,5.67501,-2.03871,5.23971,-38.9236,8.64071,-19.27344,0.95002,-1.53443,70.75098,-8.722427,-1.177684,0.496377,,,,,,,,,,,,10.35158,5.37843,1.84713,50,5.50171,-3.65674,-113.44486,-4.41657,13.21518,24.69737,-25.30773,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221014-BaggettStadium-Private-1,f3c652a0-4c0d-11ed-bb65-39f4dd2c184f,75.93504,,,7.65241,,,,,,,76d5ad5a-1054-442a-8156-293feaf6ba11,2022-10-14,22:17:12.45,2022-10-14T15:17:12.4560000-07:00,2022-10-14T22:17:12.4560000Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,f5c6c886-ef1c-4f9f-a3b1-533b5467f6a8,55.25778,-114.58378,12.34868,5.67847,-3.2495,-12.65387,2.02981,-4.26615,6.60759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.52879,,,1.124585,,,,5.4914,5.55421,0.529,70.9664,6.41882,-53.83034,5.54844,62.29649,-3.64945,5.63949,17.40081,-14.82409,0.46175,-52.61189,3.83148,High,High,High,,,High,High,High
6,2022-10-14,15:17:41.31,2,1,"Weston, Travis",1000024904,Left,CAL_MUS,"King, Wyatt",,Undefined,CAL_MUS,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.86384,1.964263,-0.165283,2425.971672,314.445635,4:30,5.81873,-1.85013,4.78006,-63.28551,-9.60961,11.57831,2.40762,-1.04195,67.70217,-9.403129,1.874631,0.527304,,,,,,,,,,,,-5.72756,-4.76496,1.85598,50,5.9595,-0.1546,-107.10541,1.42732,-6.61147,19.58257,-37.67439,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221014-BaggettStadium-Private-1,04f2d670-4c0e-11ed-bb65-39f4dd2c184f,71.48142,,,6.16166,,,,,,,76d5ad5a-1054-442a-8156-293feaf6ba11,2022-10-14,22:17:41.31,2022-10-14T15:17:41.3118896-07:00,2022-10-14T22:17:41.3118896Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,b34e4a7a-352a-487f-8a7e-e63a413c2c53,55.72293,-108.1467,9.79129,5.83034,3.43063,-18.83719,1.85485,0.19696,-3.30574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-10-14,15:17:52.55,2,2,"Weston, Travis",1000024904,Left,CAL_MUS,"King, Wyatt",,Undefined,CAL_MUS,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.8391,2.863797,-1.337648,2456.398626,325.093404,4:45,5.77298,-1.78685,4.77456,-67.26346,-14.54513,11.42784,2.88559,-2.10286,68.01193,-9.225372,0.674317,0.522579,,,,,,,,,,,,-6.00666,-7.45193,1.91016,50,6.00052,2.0608,-108.36381,2.972,-7.04831,21.26259,-40.91828,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221014-BaggettStadium-Private-1,0ba48d60-4c0e-11ed-bb65-39f4dd2c184f,72.12769,,,6.82718,,,,,,,76d5ad5a-1054-442a-8156-293feaf6ba11,2022-10-14,22:17:52.55,2022-10-14T15:17:52.5576624-07:00,2022-10-14T22:17:52.5576624Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,c3f7e04c-176d-42a9-80a6-9dd57e600a6f,55.72878,-109.48211,10.6313,5.78761,5.12409,-20.45914,1.79202,2.43151,-3.52416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-10-14,15:18:08.19,2,3,"Weston, Travis",1000024904,Left,CAL_MUS,"King, Wyatt",,Undefined,CAL_MUS,Undefined,1,Top,1,1,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.19275,-1.775141,3.431664,2227.971859,139.783523,10:45,5.78649,-1.7804,5.44801,-24.24108,14.42383,-11.06079,2.10091,0.51462,78.24915,-6.292172,1.466698,0.447538,,,,,,,,,,,,6.62166,8.19071,1.48494,50,5.61306,-7.00717,-124.77458,-4.68031,10.35513,26.98904,-19.36518,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221014-BaggettStadium-Private-1,14fb4ca0-4c0e-11ed-bb65-39f4dd2c184f,84.22178,,,7.9436,,,,,,,76d5ad5a-1054-442a-8156-293feaf6ba11,2022-10-14,22:18:08.19,2022-10-14T15:18:08.1908656-07:00,2022-10-14T22:18:08.1908656Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,62b9694c-d0d0-44b9-8858-b3631c8e23b9,55.05109,-125.8624,13.49452,5.78598,-3.89978,-9.68259,1.77579,-7.42454,5.17757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-10-14,15:18:21.90,2,4,"Weston, Travis",1000024904,Left,CAL_MUS,"King, Wyatt",,Undefined,CAL_MUS,Undefined,1,Top,1,1,2,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.1067,-2.659001,2.589462,1793.957618,116.435474,10:00,5.65622,-2.04776,5.47081,-36.70482,9.20268,-15.2767,0.10471,-0.89581,72.22123,-9.387026,-0.13444,0.487656,,,,,,,,,,,,8.64595,5.87197,1.8312,50,5.39699,-4.60338,-114.572,-6.50454,11.36802,23.30547,-24.45336,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221014-BaggettStadium-Private-1,1d1fa660-4c0e-11ed-bb65-39f4dd2c184f,77.29315,,,6.88547,,,,,,,76d5ad5a-1054-442a-8156-293feaf6ba11,2022-10-14,22:18:21.90,2022-10-14T15:18:21.9055024-07:00,2022-10-14T22:18:21.9055024Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,cd64f04f-1df9-44c4-b4be-d2d201a96049,55.03096,-115.59083,11.65273,5.65798,-5.43553,-12.22668,2.0433,-5.10034,5.68401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-10-14,15:18:41.84,2,5,"Weston, Travis",1000024904,Left,CAL_MUS,"King, Wyatt",,Undefined,CAL_MUS,Undefined,1,Top,1,2,2,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.11929,-1.097821,1.985858,1951.490747,111.984386,9:45,5.59234,-2.208,5.32397,-37.79758,9.80024,-19.88855,1.41158,-2.00107,70.60179,-8.062447,-1.549916,0.496552,,,,,,,,,,,,10.58634,5.79166,2.04306,50,5.46621,-3.11934,-113.12455,-3.40053,13.47491,24.05111,-24.80207,CAL_MUS,CAL_MUS,BaggettStadium,TeamExclusive,Team,20221014-BaggettStadium-Private-1,29054de0-4c0e-11ed-bb65-39f4dd2c184f,75.90832,,,7.5175,,,,,,,76d5ad5a-1054-442a-8156-293feaf6ba11,2022-10-14,22:18:41.84,2022-10-14T15:18:41.8492848-07:00,2022-10-14T22:18:41.8492848Z,,v3,471251,471251,,"Stafford, Ryan",1000070790,Right,CAL_MUS,de7bcd42-fce7-4d04-a6bc-9e4a604ac905,55.17388,-114.21926,12.02556,5.5953,-2.27164,-12.40104,2.199,-3.73266,6.73745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
