PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2022-10-22,13:01:52.73,1,1,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Filler, 21",,Right,SAN_GAU,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.39771,-2.914023,-5.749498,2250.944871,230.437606,1:45,6.29579,2.66814,5.88057,-22.56096,12.50339,13.84796,1.69342,-1.53544,82.39655,-7.103463,-3.281896,0.426191,,,,,,,,,,,,-8.50548,7.46693,-2.21008,50,6.04593,12.41987,-129.19558,-7.34866,-14.50809,24.59774,-19.43742,CAL_MUS,SAN_GAU,BaggettStadium,TeamExclusive,Team,20221022-BaggettStadium-Private-1,5f1c7e30-5244-11ed-b1a6-67f75a45ac5f,88.44023,,,7.00116,,,,,,,722ae1b7-db24-406d-ae5d-3055f65efac8,2022-10-22,20:01:52.73,2022-10-22T13:01:52.7360608-07:00,2022-10-22T20:01:52.7360608Z,,v3,471251,471258,,"Stafford, Ryan",1000070790,Right,CAL_MUS,c857f0f6-6937-4156-8cf8-35d2fe15e891,54.61997,-130.0722,12.29887,6.29548,-6.65594,-9.71871,-2.66192,12.93692,-7.25405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2022-10-22,13:02:07.54,1,2,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Filler, 21",,Right,SAN_GAU,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.52176,-2.252972,-5.690891,2238.684462,227.350836,1:30,6.21531,2.63086,5.87986,-21.35391,13.63851,13.63607,2.332,-1.53547,82.26121,-6.238864,-3.261574,0.425754,,,,,,,,,,,,-8.41563,7.88953,-2.17741,50,6.01991,12.31624,-129.42744,-5.80402,-14.37711,25.20506,-18.69572,CAL_MUS,SAN_GAU,BaggettStadium,TeamExclusive,Team,20221022-BaggettStadium-Private-1,67f44970-5244-11ed-b1a6-67f75a45ac5f,88.53108,,,7.26055,,,,,,,722ae1b7-db24-406d-ae5d-3055f65efac8,2022-10-22,20:02:07.54,2022-10-22T13:02:07.5498592-07:00,2022-10-22T20:02:07.5498592Z,,v3,471251,471258,,"Stafford, Ryan",1000070790,Right,CAL_MUS,309e7be4-f3a0-4331-9527-77fa226fcfbe,54.62041,-130.32412,12.60253,6.21457,-5.1389,-9.34786,-2.62467,12.82772,-7.18856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2022-10-22,13:02:23.81,1,3,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Filler, 21",,Right,SAN_GAU,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.26875,-3.20175,-4.957051,2221.207838,227.561876,1:30,6.22837,2.73364,5.83688,-21.28517,14.00509,14.10048,1.46441,-0.71026,81.99494,-7.170235,-2.440896,0.427562,,,,,,,,,,,,-8.5028,8.34367,-2.33681,50,5.95354,10.59741,-129.08715,-7.93437,-14.41719,25.64394,-18.02668,CAL_MUS,SAN_GAU,BaggettStadium,TeamExclusive,Team,20221022-BaggettStadium-Private-1,71aa18a0-5244-11ed-b1a6-67f75a45ac5f,88.15672,,,7.27381,,,,,,,722ae1b7-db24-406d-ae5d-3055f65efac8,2022-10-22,20:02:23.81,2022-10-22T13:02:23.8192736-07:00,2022-10-22T20:02:23.8192736Z,,v3,471251,471258,,"Stafford, Ryan",1000070790,Right,CAL_MUS,3696070f-7178-4df2-87b6-eab61f3f2fec,54.66359,-130.0103,12.82197,6.22749,-7.28544,-9.01334,-2.72764,11.11641,-7.2086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2022-10-22,13:02:40.74,1,4,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Filler, 21",,Right,SAN_GAU,Undefined,1,Top,0,2,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.08309,-2.341476,-5.012382,2052.812076,235.944618,1:45,6.32913,2.48892,5.79833,-27.50852,13.70268,18.13088,1.84927,-0.67431,75.5259,-7.473046,-1.777679,0.462039,,,,,,,,,,,,-10.66772,8.11457,-2.08648,50,6.11953,9.79064,-120.06313,-5.77693,-15.46554,24.72269,-20.40991,CAL_MUS,SAN_GAU,BaggettStadium,TeamExclusive,Team,20221022-BaggettStadium-Private-1,7bc2c850-5244-11ed-b1a6-67f75a45ac5f,81.57842,,,7.5572,,,,,,,722ae1b7-db24-406d-ae5d-3055f65efac8,2022-10-22,20:02:40.74,2022-10-22T13:02:40.7435360-07:00,2022-10-22T20:02:40.7435360Z,,v3,471251,471258,,"Stafford, Ryan",1000070790,Right,CAL_MUS,a13a35dd-9f35-4de2-8122-b9d8fbaf410a,54.70006,-121.02706,12.36135,6.32927,-4.98115,-10.20496,-2.47998,10.39365,-7.73277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2022-10-22,13:02:56.94,1,5,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Filler, 21",,Right,SAN_GAU,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,,83.55832,-1.200294,-3.678144,2064.623267,240.22169,2:00,6.25633,2.50002,5.69359,-28.67883,12.09339,18.64773,2.74532,0.62137,75.83123,-6.544647,-0.349209,0.459572,97.01656,28.932833,-27.317655,2427.310773,96.49759,58.7777,-52.80312,376.15361,369.36598,-33.368539,5.254188,-10.62229,6.92004,-2.20258,50,6.13752,7.02492,-121.02801,-3.45728,-15.61275,25.61715,-22.00288,CAL_MUS,SAN_GAU,BaggettStadium,TeamExclusive,Team,20221022-BaggettStadium-Private-1,85734050-5244-11ed-b1a6-67f75a45ac5f,82.01641,87.67057,,7.72709,,,,2.04564,2.83308,-0.5865,722ae1b7-db24-406d-ae5d-3055f65efac8,2022-10-22,20:02:56.94,2022-10-22T13:02:56.9433184-07:00,2022-10-22T20:02:56.9433184Z,FlyBall,v3,471251,471258,,"Stafford, Ryan",1000070790,Right,CAL_MUS,4331f50d-15d6-4251-ae4f-3de06effbd3a,54.80648,-122.04112,12.80858,6.25704,-2.5871,-11.00144,-2.49261,7.64238,-7.80637,166.146857,2.04789,110.60228,-23.61291,5.60316,-1.12218,0.20211,-0.03145,0.00338,-0.00016,2.83293,68.83099,-14.4335,-0.18089,0.40451,-0.18684,0.04649,-0.00583,0.00029,-0.58726,-57.1365,8.18642,-1.92531,0.38295,-0.06889,0.0108,-0.00117,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2022-10-22,13:03:42.46,2,1,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Filler, 2",,Left,SAN_GAU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.29068,-2.553013,-5.70099,2265.967455,226.463802,1:30,6.29825,2.65786,5.5244,-19.20147,15.12623,14.7302,2.29781,-1.46224,83.32688,-6.142539,-3.094248,0.42169,,,,,,,,,,,,-9.00445,8.67638,-2.1705,50,6.06231,12.49272,-131.81262,-6.55405,-15.85595,27.78637,-16.8958,CAL_MUS,SAN_GAU,BaggettStadium,TeamExclusive,Team,20221022-BaggettStadium-Private-1,a0861930-5244-11ed-b1a6-67f75a45ac5f,89.38413,,,7.9638,,,,,,,722ae1b7-db24-406d-ae5d-3055f65efac8,2022-10-22,20:03:42.46,2022-10-22T13:03:42.4649824-07:00,2022-10-22T20:03:42.4649824Z,,v3,471251,471258,,"Stafford, Ryan",1000070790,Right,CAL_MUS,9db160a1-e6bd-498d-8de0-609bc32f4268,54.97573,-132.85737,13.89318,6.2968,-5.91877,-8.4479,-2.65143,13.08889,-7.92798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2022-10-22,13:03:59.07,2,2,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Filler, 2",,Left,SAN_GAU,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.56095,-1.423526,-3.997299,1998.410744,246.099272,2:15,6.35787,2.58335,5.67939,-33.31852,9.37154,17.89938,2.25079,0.34257,74.43576,-7.581679,-0.803138,0.470257,,,,,,,,,,,,-10.31323,5.58713,-2.25765,50,6.21668,7.55401,-118.1342,-4.01293,-14.49945,23.58299,-24.31905,CAL_MUS,SAN_GAU,BaggettStadium,TeamExclusive,Team,20221022-BaggettStadium-Private-1,aa776ac0-5244-11ed-b1a6-67f75a45ac5f,80.15293,,,7.12518,,,,,,,722ae1b7-db24-406d-ae5d-3055f65efac8,2022-10-22,20:03:59.07,2022-10-22T13:03:59.0736480-07:00,2022-10-22T20:03:59.0736480Z,,v3,471251,471258,,"Stafford, Ryan",1000070790,Right,CAL_MUS,5178b5d8-d4c9-44e1-ba31-24ddcbdbb2a6,54.82161,-119.09285,11.79149,6.35971,-3.02437,-12.15952,-2.5767,8.14341,-7.24972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2022-10-22,13:04:15.01,2,3,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Filler, 2",,Left,SAN_GAU,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.71113,-2.338825,-4.767368,2240.759659,223.714367,1:30,6.25034,2.62015,5.44907,-20.14682,15.45993,13.64804,2.37293,-0.71622,81.79408,-6.101751,-2.349534,0.429475,,,,,,,,,,,,-8.24481,8.8015,-2.20809,50,6.02945,10.21095,-129.70659,-5.99565,-14.0248,27.50728,-17.20229,CAL_MUS,SAN_GAU,BaggettStadium,TeamExclusive,Team,20221022-BaggettStadium-Private-1,b3e7f390-5244-11ed-b1a6-67f75a45ac5f,87.76407,,,7.91705,,,,,,,722ae1b7-db24-406d-ae5d-3055f65efac8,2022-10-22,20:04:15.01,2022-10-22T13:04:15.0188128-07:00,2022-10-22T20:04:15.0188128Z,,v3,471251,471258,,"Stafford, Ryan",1000070790,Right,CAL_MUS,5959131f-9db3-4e3c-acca-db0fb774a7b3,55.05126,-130.77344,13.75364,6.24905,-5.32847,-8.60115,-2.61466,10.75489,-7.0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2022-10-22,13:04:31.48,2,4,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Filler, 2",,Left,SAN_GAU,Undefined,1,Top,0,1,2,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,78.38083,-1.181966,-3.209419,2397.814997,92.494346,9:00,6.04654,2.77364,5.4117,-44.70719,2.40996,-17.88513,1.21168,-1.72679,71.54039,-9.307712,-6.383715,0.494039,,,,,,,,,,,,8.19343,1.89303,-2.47429,50,5.9097,7.02636,-113.51438,-3.80124,10.4979,24.27416,-29.74859,CAL_MUS,SAN_GAU,BaggettStadium,TeamExclusive,Team,20221022-BaggettStadium-Private-1,bdc8ca60-5244-11ed-b1a6-67f75a45ac5f,76.29453,,,6.84044,,,,,,,722ae1b7-db24-406d-ae5d-3055f65efac8,2022-10-22,20:04:31.48,2022-10-22T13:04:31.4876512-07:00,2022-10-22T20:04:31.4876512Z,,v3,471251,471258,,"Stafford, Ryan",1000070790,Right,CAL_MUS,725c4512-1aeb-46ab-8ef3-400d77a84184,55.09141,-114.59797,12.13708,6.04975,-2.47328,-14.87429,-2.77749,6.55773,5.24895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2022-10-22,13:05:10.04,3,1,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Kirtley, Christian",1000049208,Right,SAN_GAU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.23832,-3.960399,-4.436045,2219.155587,212.479001,1:00,6.42464,2.79,5.64076,-17.31178,18.55407,11.02949,1.27036,-0.4375,81.3438,-7.224585,-2.47402,0.431034,,,,,,,,,,,,-6.90583,10.9352,-2.41976,50,6.07592,9.52579,-128.8942,-9.48201,-11.57591,27.69275,-13.84398,CAL_MUS,SAN_GAU,BaggettStadium,TeamExclusive,Team,20221022-BaggettStadium-Private-1,d4beef10-5244-11ed-b1a6-67f75a45ac5f,87.44647,,,7.89451,,,,,,,722ae1b7-db24-406d-ae5d-3055f65efac8,2022-10-22,20:05:10.04,2022-10-22T13:05:10.0438112-07:00,2022-10-22T20:05:10.0438112Z,,v3,471251,471258,,"Stafford, Ryan",1000070790,Right,CAL_MUS,6b0857a8-2724-48f8-9ce4-a1782b46c60e,54.85944,-129.93405,13.84638,6.4222,-8.96218,-6.92199,-2.78561,9.96046,-5.78795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
